default,fico,dti,accts_open_past_24mths,accts_open_past_12mths,bc_credit_util,inq_past_6mths,num_bankruptcies,num_delinq_past_24mths,num_mnths_rcnt_acct,num_mort_accts,total_num_accts,total_num_open_accts
0,667.0,19.85,5.0,4.0,46.8,1.0,0.0,0.0,10.0,1.0,31.0,14.0
0,692.0,27.44,8.0,3.0,74.9,1.0,0.0,0.0,1.0,1.0,39.0,19.0
0,747.0,14.61,1.0,1.0,57.9,0.0,0.0,0.0,12.0,0.0,13.0,5.0
0,707.0,20.47,1.0,0.0,93.0,0.0,0.0,0.0,23.0,0.0,25.0,9.0
1,682.0,21.95,9.0,7.0,98.0,3.0,0.0,0.0,2.0,1.0,29.0,15.0
0,727.0,17.83,3.0,3.0,56.1,1.0,0.0,0.0,1.0,1.0,12.0,8.0
1,672.0,36.86,5.0,3.0,97.7,0.0,0.0,0.0,3.0,0.0,16.0,10.0
0,692.0,33.23,9.0,5.0,87.8,0.0,0.0,0.0,4.0,5.0,42.0,20.0
1,672.0,28.33,3.0,0.0,59.0,1.0,0.0,1.0,16.0,0.0,20.0,9.0
0,667.0,19.84,9.0,5.0,56.6,1.0,1.0,0.0,1.0,2.0,32.0,10.0
0,662.0,21.99,8.0,3.0,37.5,2.0,1.0,0.0,2.0,3.0,47.0,19.0
1,677.0,29.25,5.0,3.0,82.7,0.0,1.0,1.0,6.0,4.0,50.0,23.0
1,677.0,18.92,8.0,3.0,14.0,2.0,2.0,0.0,3.0,0.0,27.0,17.0
0,672.0,32.62,8.0,4.0,51.7,1.0,0.0,0.0,1.0,1.0,66.0,9.0
0,737.0,10.89,2.0,0.0,58.4,0.0,0.0,0.0,14.0,5.0,19.0,9.0
1,677.0,21.16,9.0,4.0,94.3,1.0,0.0,0.0,3.0,4.0,40.0,16.0
0,697.0,34.09,4.0,1.0,88.9,2.0,0.0,0.0,12.0,4.0,45.0,13.0
1,727.0,18.43,6.0,6.0,4.2,3.0,0.0,1.0,1.0,1.0,34.0,13.0
0,682.0,16.13,0.0,0.0,45.2,1.0,0.0,5.0,31.0,2.0,28.0,4.0
0,667.0,5.35,6.0,3.0,91.3,2.0,0.0,0.0,7.0,4.0,19.0,9.0
0,672.0,7.42,1.0,0.0,99.0,0.0,0.0,0.0,16.0,0.0,4.0,3.0
1,667.0,13.89,16.0,7.0,76.7,0.0,0.0,0.0,1.0,0.0,27.0,17.0
0,702.0,26.86,8.0,3.0,47.5,1.0,0.0,1.0,2.0,5.0,27.0,13.0
0,707.0,18.23,5.0,0.0,95.1,0.0,0.0,0.0,20.0,2.0,30.0,11.0
0,677.0,14.06,0.0,0.0,63.3,0.0,0.0,1.0,25.0,3.0,19.0,11.0
0,692.0,19.46,5.0,2.0,91.5,0.0,0.0,0.0,3.0,2.0,36.0,12.0
0,687.0,36.77,3.0,1.0,84.9,0.0,0.0,0.0,7.0,4.0,31.0,12.0
0,672.0,19.82,5.0,2.0,75.7,0.0,0.0,0.0,7.0,0.0,19.0,10.0
1,692.0,32.21,8.0,1.0,45.3,0.0,0.0,0.0,5.0,0.0,20.0,12.0
0,712.0,14.23,5.0,4.0,81.5,0.0,0.0,0.0,4.0,2.0,26.0,13.0
1,682.0,36.43,8.0,1.0,98.8,1.0,0.0,0.0,4.0,0.0,31.0,23.0
0,667.0,23.96,13.0,6.0,86.3,0.0,0.0,1.0,1.0,1.0,48.0,12.0
0,737.0,27.21,5.0,3.0,10.7,1.0,3.0,0.0,1.0,0.0,20.0,16.0
0,692.0,26.55,5.0,3.0,82.8,0.0,0.0,0.0,9.0,5.0,24.0,12.0
0,677.0,24.87,7.0,3.0,39.6,0.0,1.0,0.0,2.0,4.0,15.0,9.0
0,697.0,17.66,3.0,2.0,80.6,0.0,0.0,0.0,9.0,2.0,24.0,12.0
1,667.0,8.18,3.0,3.0,97.4,1.0,0.0,2.0,0.0,0.0,27.0,17.0
0,702.0,29.44,4.0,4.0,6.0,0.0,0.0,2.0,3.0,0.0,45.0,16.0
0,732.0,16.78,4.0,2.0,51.0,0.0,0.0,0.0,1.0,1.0,29.0,12.0
0,737.0,34.64,7.0,4.0,22.0,0.0,0.0,0.0,4.0,2.0,24.0,8.0
1,682.0,24.81,7.0,4.0,76.4,1.0,0.0,0.0,1.0,0.0,40.0,21.0
0,672.0,10.31,5.0,2.0,91.7,2.0,0.0,0.0,12.0,4.0,17.0,7.0
1,692.0,33.33,2.0,2.0,91.3,1.0,0.0,0.0,3.0,0.0,20.0,9.0
0,697.0,20.77,5.0,3.0,45.2,0.0,0.0,0.0,9.0,0.0,34.0,13.0
0,722.0,21.61,2.0,1.0,29.8,0.0,0.0,2.0,1.0,3.0,33.0,16.0
1,682.0,23.28,5.0,4.0,66.0,0.0,0.0,1.0,1.0,2.0,21.0,10.0
